base_date,airport,airport_-1day,airport_-2day,총관광객,내국인,tourist_-1day,tourist_-2day,base_day,fri,mon,sat,sun,thu,tue,wed,평균기온,강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),weekend,holiday,holiandweekend,std_airport,month,01,02,03,04,05,06,07,08,09,10,11,12,관광지하차관광객(y)
20180905,4095,3482,3819,39231,35182,36212,39819,wed,0,0,0,0,0,0,1,26.6,0.0,0.0,7.3,3.3,0,0,0,-0.47040016993200734,09,0,0,0,0,0,0,0,0,1,0,0,0,3062
20180906,3876,4095,3482,42950,38711,39231,36212,thu,0,0,0,0,1,0,0,26.2,1.8,0.0,3.7,2.0,0,0,0,-0.651733451424242,09,0,0,0,0,0,0,0,0,1,0,0,0,3045
20180907,4135,3876,4095,42618,38642,42950,39231,fri,1,0,0,0,0,0,0,24.3,10.03,11.8,7.8,2.5,0,0,0,-0.43727993586949876,09,0,0,0,0,0,0,0,0,1,0,0,0,2959
20180908,3869,4135,3876,43067,38273,42618,42950,sat,0,0,1,0,0,0,0,22.3,2.47,0.0,5.5,2.2,1,0,1,-0.657529492385181,09,0,0,0,0,0,0,0,0,1,0,0,0,3102
20180909,4725,3869,4135,38823,35078,43067,42618,sun,0,0,0,1,0,0,0,23.0,0.0,0.0,4.4,2.1,1,0,1,0.051243516552503345,09,0,0,0,0,0,0,0,0,1,0,0,0,3144
20180910,4289,4725,3869,40950,37090,38823,43067,mon,0,1,0,0,0,0,0,23.0,0.28,0.0,7.1,3.3,0,0,0,-0.30976703472884054,09,0,0,0,0,0,0,0,0,1,0,0,0,3021
20180911,3695,4289,4725,39651,35626,40950,38823,tue,0,0,0,0,0,1,0,22.3,9.72,0.2,7.0,4.0,0,0,0,-0.8016025105570935,09,0,0,0,0,0,0,0,0,1,0,0,0,3049
20180912,3890,3695,4289,39952,36303,39651,40950,wed,0,0,0,0,0,0,1,23.0,6.75,0.2,5.0,2.8,0,0,0,-0.640141369502364,09,0,0,0,0,0,0,0,0,1,0,0,0,3004
20180913,3766,3890,3695,41343,37391,39952,39651,thu,0,0,0,0,1,0,0,23.5,20.65,139.3,5.5,2.4,0,0,0,-0.7428140950961407,09,0,0,0,0,0,0,0,0,1,0,0,0,2192
20180914,3795,3766,3890,40935,37024,41343,39952,fri,1,0,0,0,0,0,0,25.3,0.13,0.0,4.0,2.0,0,0,0,-0.718801925400822,09,0,0,0,0,0,0,0,0,1,0,0,0,2968
20180915,3856,3795,3766,39146,34487,40935,41343,sat,0,0,1,0,0,0,0,25.2,1.87,0.4,4.7,2.7,1,0,1,-0.6682935684554964,09,0,0,0,0,0,0,0,0,1,0,0,0,3040
20180916,4392,3856,3795,33925,30286,39146,40935,sun,0,0,0,1,0,0,0,25.5,0.0,0.0,4.3,2.0,1,0,1,-0.22448243201788087,09,0,0,0,0,0,0,0,0,1,0,0,0,3037
20180917,4347,4392,3856,36923,33049,33925,39146,mon,0,1,0,0,0,0,0,24.6,2.92,0.1,4.8,1.5,0,0,0,-0.26174269533820305,09,0,0,0,0,0,0,0,0,1,0,0,0,2782
20180918,3694,4347,4392,29944,25940,36923,33925,tue,0,0,0,0,0,1,0,25.0,0.0,0.0,4.0,2.0,0,0,0,-0.8024305164086563,09,0,0,0,0,0,0,0,0,1,0,0,0,3106
20180919,4074,3694,4347,29455,25599,29944,36923,wed,0,0,0,0,0,0,1,23.3,5.62,0.0,3.7,1.6,0,0,0,-0.4877882928148244,09,0,0,0,0,0,0,0,0,1,0,0,0,3106
20180920,5347,4074,3694,37432,32828,29455,29944,thu,0,0,0,0,1,0,0,25.2,7.63,11.6,7.1,3.0,0,0,0,0.5662631562245123,09,0,0,0,0,0,0,0,0,1,0,0,0,2918
20180921,5187,5347,4074,44129,39699,37432,29455,fri,1,0,0,0,0,0,0,24.5,3.98,2.9,8.7,2.8,0,0,0,0.43378221997447786,09,0,0,0,0,0,0,0,0,1,0,0,0,3083
20180922,3786,5187,5347,49966,44641,44129,37432,sat,0,0,1,0,0,0,0,24.2,0.0,0.0,2.9,1.7,1,0,1,-0.7262539780648865,09,0,0,0,0,0,0,0,0,1,0,0,0,3444
20180923,3812,3786,5187,47760,44222,49966,44129,sun,0,0,0,1,0,0,0,24.4,0.48,0.0,5.2,2.7,1,1,1,-0.7047258259242558,09,0,0,0,0,0,0,0,0,1,0,0,0,2887
20180924,3677,3812,3786,42066,38394,47760,49966,mon,0,1,0,0,0,0,0,21.9,0.0,0.0,4.2,2.0,0,1,1,-0.8165066158852223,09,0,0,0,0,0,0,0,0,1,0,0,0,2854
